Reference; Quantity; Footprint; Value; Description; Size; Tolerance; Type; Voltage; Power; Current; Decription; 
C101 C103 C105 C307 C309 C311 C506 C614 C703 C842 ;10;SMD-0805;10u;'Ceramic capacitor;'0805;'20%;'X5R;'10V;';';';
C102 C104 C106 C201 C203 C205 C209 C211 C212 C214 C219 C223 C224 C301 C304 C305 C308 C310 C312 C313 C404 C502 C505 C507 C603 C604 C605 C608 C610 C611 C704 C841 ;32;SMD-0805;100n;'Ceramic capacitor;'0805;'10%;'X7R;'50V;';';';
C107 C215 C401 C402 C405 C406 C701 C702 C705 C706 C707 ;11;SMD-0805;10n;'Ceramic capacitor;'0805;'10%;'X7R;'50V;';';';
C202 C221 ;2;CAP-TH-D6.3mmP2.5mm;220u;'Aluminium electrolytic capacitor;';';'2.5mm pitch, 6.3mm diameter;'16V;';';';
C206 ;1;SMD-0805;39p;'Ceramic capacitor;'0805;'10%;'X7R;'50V;';';';
C207 C208 C217 C218 C303 C504 C607 C801 C807 C811 C814 C825 ;12;SMD-0805;22u;'Ceramic capacitor;'0805;'20%;'X5R;'10V;';';';
C210 C220 C302 C503 C606 C810 ;6;CAP-TH-D6.3mmP2.5mm;220u;'Low impedance aluminium electrolytic capacitor - Panasonic FC, FR or similar;';';'2.5mm pitch, 6.3mm diameter;'10V;';';';
C216 ;1;SMD-0805;N/F;'Ceramic capacitor;'0805;'10%;'X7R;'50V;';';';
C204 C213 C222 ;3;SMD-0805;22u;'Ceramic capacitor;'0805;'20%;'X5R;'25V;';';';
C225 C306 C508 C609 C828 ;5;SMD-0805;100p;'Ceramic capacitor;'0805;'5%;'C0G;'50V;';';';
C403 ;1;SMD-0805;2u2;'Ceramic capacitor;'0805;'10%;'X5R;'50V;';';';
C509 C510 C612 C613 ;4;SMD-0805;33p;'Ceramic capacitor;'0805;'5%;'NP0;'50V;';';';
C601 C602 ;2;SMD-0805;1u;'Ceramic capacitor;'0805;'10%;'X7R;'10V;';';';
C802 C803 C804 C805 C806 ;5;SMD-0603;1u;'Ceramic capacitor;'0603;'10%;'X7R;'10V;';';';
